사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2020041500100281,2020년 4월 15일 15시,수요일,경상남도 밀양시 삼문동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,57세,상해없음,이륜,여,70세,중상
2020041600100505,2020년 4월 16일 22시,목요일,경상남도 밀양시 내이동,경상사고,0,0,4,0,차대차 - 추돌,안전운전불이행,건조,흐림,교차로 - 교차로안,승용,남,65세,상해없음,승용,남,42세,경상
2020042000100240,2020년 4월 20일 13시,월요일,경상남도 밀양시 삼문동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,62세,상해없음,승용,남,63세,경상
2020042000100241,2020년 4월 20일 13시,월요일,경상남도 밀양시 무안면,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,62세,경상,승합,여,32세,경상
2020042100100137,2020년 4월 21일 10시,화요일,경상남도 밀양시 산외면,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,48세,중상,화물,남,57세,상해없음
2020042100100203,2020년 4월 21일 12시,화요일,경상남도 밀양시 가곡동,중상사고,0,2,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 교량,승용,남,68세,상해없음,승용,남,41세,중상
2020042100100439,2020년 4월 21일 19시,화요일,경상남도 밀양시 삼문동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,원동기,남,30세,상해없음,보행자,여,59세,경상
2020042200100147,2020년 4월 22일 10시,수요일,경상남도 밀양시 활성동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,22세,상해없음,승용,여,59세,경상
2020042200100539,2020년 4월 22일 23시,수요일,경상남도 밀양시 삼문동,부상신고사고,0,0,0,1,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,49세,상해없음,보행자,남,50세,부상신고
2020042300100260,2020년 4월 23일 14시,목요일,경상남도 밀양시 하남읍,중상사고,0,2,1,0,차대차 - 측면충돌,중앙선침범,건조,맑음,단일로 - 교량,승용,여,44세,상해없음,화물,남,43세,중상
